Date,GSPC.Adjusted,PEP.Adjusted,JPM.Adjusted,BLK.Adjusted,PFE.Adjusted,C.Adjusted,MCO.Adjusted,GOOGL.Adjusted,WHR.Adjusted,NFLX.Adjusted
26/1/18,2872.870117,120.866745,115.733109,583.700562,38.278255,79.380791,166.361542,1187.560059,183.379318,274.600006
29/1/18,2853.530029,118.792076,115.613716,571.385986,38.288067,79.261841,160.910019,1186.47998,179.957657,284.589996
30/1/18,2822.429932,119.01046,114.529213,559.320068,37.09095,77.93354,160.790634,1177.369995,179.533646,278.799988
31/1/18,2823.810059,119.417458,115.086388,558.832642,36.345207,77.794762,160.949799,1182.219971,178.892685,270.299988
1/2/18,2821.97998,119.417458,116.280334,562.204773,36.473953,78.508469,162.720566,1181.589966,179.947784,265.070007
2/2/18,2762.129883,117.799408,113.7034,545.423828,36.256081,76.657234,157.786316,1119.199951,175.579498,267.429993
5/2/18,2648.939941,113.6203,108.251053,522.197144,34.334831,72.924896,150.524231,1062.390015,169.485596,254.259995
6/2/18,2695.139893,112.726898,111.54435,532.393005,34.938934,74.467598,157.119797,1084.430054,171.388718,265.720001
7/2/18,2681.659912,112.667343,112.300522,529.448669,34.641834,74.636795,157.159576,1055.410034,169.130615,264.559998
8/2/18,2581,109.341919,107.335693,506.689514,33.30489,71.531494,151.349915,1007.710022,162.65213,250.100006
9/2/18,2619.550049,110.364365,109.484795,518.755493,33.829765,73.33297,153.836929,1046.27002,164.683441,249.470001
12/2/18,2656,111.108856,111.176216,522.605042,34.324928,74.407883,158.452835,1054.560059,168.66716,257.950012
13/2/18,2662.939941,111.317322,111.86274,518.516724,34.602222,74.825905,160.760803,1054.140015,167.819138,258.269989
14/2/18,2698.629883,108.309547,114.449615,537.088135,34.849804,76.348694,162.700668,1072.699951,168.824936,266
15/2/18,2731.199951,110.155907,114.9272,537.794373,35.364777,76.716957,166.122803,1091.359985,174.277893,280.269989
16/2/18,2732.219971,110.245239,114.101387,538.241943,35.909462,76.458176,167.778549,1095.5,170.294159,278.519989
20/2/18,2716.26001,108.676834,114.131233,539.734009,35.661877,76.099869,167.698746,1103.589966,166.152679,278.549988
21/2/18,2701.330078,107.207687,114.608818,540.688965,35.414295,76.637329,166.561676,1113.75,163.973465,281.040009
22/2/18,2703.959961,108.45845,114.399872,536.680298,35.394489,75.910767,166.741196,1109.900024,166.13295,278.140015
23/2/18,2747.300049,108.875366,116.718117,546.846313,35.909462,76.716957,168.865738,1128.089966,169.051712,285.929993
26/2/18,2779.600098,110.126122,118.170746,560.99115,36.731438,77.284271,169.763428,1143.699951,165.748383,294.160004
27/2/18,2744.280029,110.076485,116.76786,549.850342,36.444241,76.020248,167.938126,1117.51001,162.938095,290.609985
28/2/18,2713.830078,108.925003,114.917252,546.527954,35.958981,75.134438,166.45195,1103.920044,160.167221,291.380005
1/3/18,2677.669922,108.120003,112.857689,532.75116,35.285553,73.313065,166.09288,1071.410034,159.41272,290.390015
2/3/18,2691.25,109.040001,112.748245,534.740601,35.602459,73.33297,166.511795,1084.140015,157.506546,301.049988
5/3/18,2720.939941,109.43,114.479462,542.380005,35.770813,74.069481,167.070358,1094.76001,157.437057,315
6/3/18,2728.120117,109.580002,114.578964,548.659973,35.533138,73.711174,165.634048,1100.900024,160.256592,325.220001
7/3/18,2726.800049,109.839996,114.151138,547.429993,35.582653,73.571831,166.332245,1115.040039,157.456924,321.160004
8/3/18,2738.969971,112.080002,114.161079,553.390015,36.147141,73.760941,167.938126,1129.380005,157.63562,317
9/3/18,2786.570068,112.540001,117.444435,577.179993,36.414532,75.751518,169.613815,1160.839966,162.877563,331.440002
12/3/18,2783.02002,112.75,117.066353,571.789978,36.256081,75.661942,169.424301,1165.930054,162.132965,321.299988
