"PEP.Adjusted","JPM.Adjusted","BLK.Adjusted","PFE.Adjusted","GSPC.Adjusted","C.Adjusted","MCO.Adjusted","GOOGL.Adjusted","WHR.Adjusted","BA.Adjusted","NFLX.Adjusted","V.Adjusted"
118.176628,112.688553,576.160583,36.29615,2798.030029,76.714272,156.761673,1135.969971,165.058136,336.80896,220.330002,122.698868
119.288406,112.439812,587.142334,36.247082,2810.300049,77.616333,158.353348,1143.5,165.196198,334.402893,220.460007,122.29023
120.618584,113.753151,590.126465,36.237274,2832.969971,77.903793,159.636658,1164.160034,164.328445,334.670227,227.580002,123.914795
120.410126,113.633759,586.565369,36.129333,2839.129883,77.864151,160.00473,1176.170044,169.584198,332.283966,250.289993,124.233727
120.251289,115.086388,584.565979,36.237274,2837.540039,78.756287,161.347733,1171.290039,176.476822,331.392853,261.299988,124.134064
120.013054,115.116234,572.460266,36.531643,2839.25,78.746384,161.944611,1182.140015,180.539429,339.729858,269.700012,124.801819
120.866745,115.733109,583.700562,38.278255,2872.870117,79.380791,166.361542,1187.560059,183.379318,339.838806,274.600006,125.898148
118.792076,115.613716,571.385986,38.288067,2853.530029,79.261841,160.910019,1186.47998,179.957657,337.462463,284.589996,124.423088
119.01046,114.529213,559.320068,37.09095,2822.429932,77.93354,160.790634,1177.369995,179.533646,334.383087,278.799988,123.137405
119.417458,115.086388,558.832642,36.345207,2823.810059,77.794762,160.949799,1182.219971,178.892685,350.878967,270.299988,123.815132
119.417458,116.280334,562.204773,36.473953,2821.97998,78.508469,162.720566,1181.589966,179.947784,353.423645,265.070007,125.300148
117.799408,113.7034,545.423828,36.256081,2762.129883,76.657234,157.786316,1119.199951,175.579498,345.472748,267.429993,120.506218
113.6203,108.251053,522.197144,34.334831,2648.939941,72.924896,150.524231,1062.390015,169.485596,325.640076,254.259995,115.881706
112.726898,111.54435,532.393005,34.938934,2695.139893,74.467598,157.119797,1084.430054,171.388718,337.551544,265.720001,119.569351
112.667343,112.300522,529.448669,34.641834,2681.659912,74.636795,157.159576,1055.410034,169.130615,344.690521,264.559998,119.250427
109.341919,107.335693,506.689514,33.30489,2581,71.531494,151.349915,1007.710022,162.65213,328.023682,250.100006,113.479759
110.364365,109.484795,518.755493,33.829765,2619.550049,73.33297,153.836929,1046.27002,164.683441,331.177917,249.470001,115.931549
111.108856,111.176216,522.605042,34.324928,2656,74.407883,158.452835,1054.560059,168.66716,342.093475,257.950012,118.074364
111.317322,111.86274,518.516724,34.602222,2662.939941,74.825905,160.760803,1054.140015,167.819138,341.456665,258.269989,117.954765
108.309547,114.449615,537.088135,34.849804,2698.629883,76.348694,162.700668,1072.699951,168.824936,343.138275,266,120.426483
110.155907,114.9272,537.794373,35.364777,2731.199951,76.716957,166.122803,1091.359985,174.277893,354.690643,280.269989,122.083817
110.245239,114.101387,538.241943,35.909462,2732.219971,76.458176,167.778549,1095.5,170.294159,353.27771,278.519989,121.654503
108.676834,114.131233,539.734009,35.661877,2716.26001,76.099869,167.698746,1103.589966,166.152679,351.596069,278.549988,121.814255
107.207687,114.608818,540.688965,35.414295,2701.330078,76.637329,166.561676,1113.75,163.973465,350.620941,281.040009,120.236786
108.45845,114.399872,536.680298,35.394489,2703.959961,75.910767,166.741196,1109.900024,166.13295,354.15332,278.140015,120.186859
108.875366,116.718117,546.846313,35.909462,2747.300049,76.716957,168.865738,1128.089966,169.051712,354.889648,285.929993,122.732773
110.126122,118.170746,560.99115,36.731438,2779.600098,77.284271,169.763428,1143.699951,165.748383,361.675812,294.160004,124.390106
110.076485,116.76786,549.850342,36.444241,2744.280029,76.020248,167.938126,1117.51001,162.938095,362.830048,290.609985,123.172073
108.925003,114.917252,546.527954,35.958981,2713.830078,75.134438,166.45195,1103.920044,160.167221,360.412079,291.380005,122.74276
108.120003,112.857689,532.75116,35.285553,2677.669922,73.313065,166.09288,1071.410034,159.41272,347.954254,290.390015,120.206833
109.040001,112.748245,534.740601,35.602459,2691.25,73.33297,166.511795,1084.140015,157.506546,342.959167,301.049988,120.576233
109.43,114.479462,542.380005,35.770813,2720.939941,74.069481,167.070358,1094.76001,157.437057,350.999054,315,121.684456
109.580002,114.578964,548.659973,35.533138,2728.120117,73.711174,165.634048,1100.900024,160.256592,347.18808,325.220001,120.865768
109.839996,114.151138,547.429993,35.582653,2726.800049,73.571831,166.332245,1115.040039,157.456924,345.317413,321.160004,121.654503
112.080002,114.161079,553.390015,36.147141,2738.969971,73.760941,167.938126,1129.380005,157.63562,346.999023,317,122.023911
112.540001,117.444435,577.179993,36.414532,2786.570068,75.751518,169.613815,1160.839966,162.877563,352.760254,331.440002,124.310242
112.75,117.066353,571.789978,36.256081,2783.02002,75.661942,169.424301,1165.930054,162.132965,342.481537,321.299988,124.040672
113.599998,115.663467,564.059998,36.394726,2765.310059,74.557175,168.646301,1139.910034,161.547226,336.988953,315.880005,123.002335
112.610001,114.370018,558.960022,35.998592,2749.47998,73.123955,166.262436,1148.890015,158.965958,328.620697,321.549988,122.383339
111.989998,114.658554,557.929993,36.226372,2747.330078,72.99456,166.052963,1150.609985,159.323364,328.342102,321.089996,123.212006
111.639999,114.857552,563.659973,36.424435,2752.01001,73.123955,166.87088,1134.420044,158.668137,328.829651,318.450012,124.330208
110.360001,113.952141,553.830017,35.978786,2712.919922,72.357582,164.965775,1100.069946,156.861237,330.113251,313.480011,123.012321
